,price,location,total_sqft,bhk,bath
62,7000000.0,"Chhattarpur, New Delhi - South, Delhi NCR",1250.0,3.0,2.0
63,5000000.0,"Chhattarpur, New Delhi - South, Delhi NCR",900.0,3.0,2.0
64,3200000.0,"Chhattarpur, New Delhi - South, Delhi NCR",668.0,2.0,2.0
65,5220000.0,"Chi 5, Greater Noida, Delhi NCR",1494.0,3.0,3.0
66,7800000.0,"Chi 5, Greater Noida, Delhi NCR",1735.0,3.0,3.0
67,7800000.0,"Chi 5, Greater Noida, Delhi NCR",1735.0,3.0,3.0
68,4250000.0,"Chi 5, Greater Noida, Delhi NCR",1114.0,2.0,2.0
69,13000000.0,"Chi 5, Greater Noida, Delhi NCR",3210.0,4.0,4.0
70,3200000.0,"Chi 5, Greater Noida, Delhi NCR",875.0,2.0,2.0
71,7700000.0,"Chi 5, Greater Noida, Delhi NCR",1735.0,3.0,3.0
72,3500000.0,"Chi 5, Greater Noida, Delhi NCR",1000.0,2.0,2.0
73,3000000.0,"Chi 5, Greater Noida, Delhi NCR",875.0,2.0,2.0
74,5500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1685.0,3.0,2.0
75,5400000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1600.0,3.0,3.0
76,5000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1295.0,2.0,2.0
77,4500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1425.0,2.0,2.0
78,6000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1680.0,3.0,3.0
79,5500000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1635.0,3.0,2.0
80,6000000.0,"Crossings Republik, Ghaziabad, Crossings Republik, Ghaziabad, Delhi NCR",1700.0,3.0,2.0
81,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1254.0,2.0,2.0
82,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1105.0,2.0,2.0
83,5800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1730.0,3.0,3.0
84,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1235.0,2.0,2.0
86,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,2.0,2.0
87,4000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1150.0,2.0,2.0
88,4670000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1320.0,3.0,2.0
89,4600000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1400.0,2.0,2.0
90,3300000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1075.0,2.0,2.0
91,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,3.0,3.0
92,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,3.0,3.0
93,4520000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1450.0,2.0,2.0
94,6000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1750.0,3.0,3.0
95,3450000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1075.0,2.0,2.0
96,6500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1810.0,3.0,3.0
99,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,2.0,2.0
100,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1275.0,3.0,2.0
101,4300000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1200.0,2.0,2.0
102,5000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1425.0,2.0,2.0
105,3050000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1000.0,2.0,2.0
108,3700000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1260.0,2.0,2.0
109,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1270.0,2.0,2.0
111,3500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1150.0,2.0,2.0
112,4200000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1295.0,2.0,2.0
113,5630000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,3.0,3.0
116,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1120.0,2.0,2.0
117,5800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1750.0,4.0,3.0
119,3900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1275.0,2.0,2.0
120,4200000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1250.0,2.0,2.0
121,4070000.000000001,"Crossings Republik, Ghaziabad, Delhi NCR",1344.0,2.0,2.0
123,2900000.0,"Crossings Republik, Ghaziabad, Delhi NCR",760.0,2.0,2.0
124,6000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1600.0,3.0,3.0
125,3600000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1015.0,2.0,2.0
126,3000000.0,"Crossings Republik, Ghaziabad, Delhi NCR",850.0,2.0,2.0
127,4500000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1200.0,2.0,2.0
128,3800000.0,"Crossings Republik, Ghaziabad, Delhi NCR",1050.0,2.0,2.0
